model,accuracy,precision,recall,F1
RF cv,0.8975369345817121,0.9239072134618219,0.8721374045801527,0.8969243495378587
XGB cv,0.5834143968871596,0.5512501365794545,0.9961832061068703,0.7097344604929836
RF Test,0.8910505836575876,0.9009009009009009,0.8547008547008547,0.8771929824561403
XGB test,0.5369649805447471,0.4956896551724138,0.9829059829059829,0.6590257879656161
